CopyBarcode,CallNumber,Title,MaterialType,PublicationYear,Status,DateLastAccountedFor,DateAcquired,TotalCirculations,CirculationsThisYear,CirculationsLastYear,CirculationsThisMonth
T 33811,VIDEO 552 ROC,Rocks & soil,Video,1996,Available,2/7/2023,4/12/2006,7,0,0,0
T 33025,VIDEO 571.6 MAG,The magic of cells,Video,1994,Available,2/7/2023,4/8/2002,7,0,0,0
T 31175,VIDEO 571.8 MEI,Meiosis,Video,2003,Available,2/7/2023,3/7/2006,0,0,0,0
T 31181,VIDEO 571.8 MIT,Mitosis,Video,2003,Available,2/7/2023,3/7/2006,0,0,0,0
T 25560,VIDEO 574.5 RAI,The journey down to earth The rain forest /.,Video,1993,Available,2/7/2023,12/5/1994,6,0,0,0
T 33789,VIDEO 577 ADA,Adapting to deserts and other ecosystems,Video,2005,Available,2/7/2023,4/12/2006,2,0,0,0
T 33791,VIDEO 577.3 FOR,Forests and seeds,Video,2005,Available,2/7/2023,4/12/2006,2,0,0,0
T 33817,VIDEO 577.34 TRO,Tropical rainforest,Video,2001,Available,2/7/2023,4/12/2006,5,0,0,0
T 33792,VIDEO 577.5 ISL,Islands and evolution,Video,2005,Available,2/7/2023,4/12/2006,0,0,0,0
T 33788,VIDEO 577.7 COA,Coastlines and seas,Video,2005,Available,2/7/2023,4/12/2006,1,0,0,0
T 31537,VIDEO 592 INV,Invertebrates,Video,1996,Available,2/8/2023,4/23/2007,2,0,0,0
T 60704,VIDEO 595.7 INS,Insects,Video,2003,Available,2/7/2023,5/14/2007,0,0,0,0
T 26290,VIDEO 599.8 AMO,Among the wild chimpanzees,Video,1984,Available,2/7/2023,10/1/1996,15,0,0,0
T 62910,VIDEO 612 HUM,The human face,Video,2010,Available,2/7/2023,4/6/2012,1,0,0,0
T 30884,VIDEO 612 INC,The incredible human machine,Video,1993,Available,2/7/2023,11/4/2004,8,0,0,0
T 60909,VIDEO 612 INC,The incredible human body,Video,2002,Available,2/7/2023,4/17/2008,2,0,0,0
T 61240,VIDEO 612 INS,Inside the living body,Video,2007,Available,2/7/2023,5/28/2008,4,0,0,0
T 28401,VIDEO 613.7 NUT,Nutrition & exercise facts to live by,Video,1995,Available,2/7/2023,12/1/1999,11,0,0,0
T 21974,VIDEO 613.85 SMO,Smokeless tobacco is it worth the risk?,Video,,Available,2/7/2023,11/12/1991,13,0,0,0
T 62905,VIDEO 613.85 SPI,Spit this! the hazards of smokeless tobacco.,Video,2010,Available,2/7/2023,4/2/2012,21,1,2,0
T 28410,VIDEO 616.1 CHO,Cholesterol made easy,Video,1995,Available,2/7/2023,12/1/1999,4,0,0,0
T 40876,VIDEO 616.3 KIL,Killer at large,Video,2009,Available,2/7/2023,4/12/2012,5,0,0,0
T 31152,VIDEO 616.3 SUP,Super size me,Video,2004,Available,3/2/2023,3/1/2006,86,2,3,0
T 62877,VIDEO 616.4 DIA,Diabetes why many teens are at risk,Video,2009,Available,2/7/2023,4/2/2012,2,0,0,0
T 61244,VIDEO 616.86 WOR,World's most dangerous drug,Video,2006,Available,2/7/2023,5/28/2008,2,0,0,0
T 61241,VIDEO 620.1 MAT,Materials,Video,2007,Available,2/7/2023,5/28/2008,1,0,0,0
T 60915,VIDEO 621.48 NUC,Nuclear energy,Video,2005,Available,2/7/2023,4/17/2008,5,0,0,0
T 62903,VIDEO 621.8 SIM,Simple machines,Video,2005,Available,2/7/2023,4/2/2012,2,0,0,0
T 60914,VIDEO 624.1 MOR,More engineering disasters,Video,2005,Available,2/7/2023,4/17/2008,1,0,0,0
T 60706,VIDEO 624.1 MOR,More engineering disasters,Video,2005,Available,2/7/2023,5/14/2007,1,0,0,0
T 61242,VIDEO 645 SCI,Scientific advances in our homes,Video,2007,Available,2/7/2023,5/28/2008,0,0,0,0
T 40055,VIDEO 780 MUS,Music : Arts toolkit,Video,2007,Checked Out,9/28/2022,3/20/2008,7,1,0,0
T 41212,VIDEO 781.5 ASH,The dream,Video,2004,Available,2/7/2023,3/17/2015,5,0,0,0
T 40804,VIDEO 784.8 BLA,Blast,Video,2004,Available,2/7/2023,6/7/2011,6,0,0,0
T 40656,VIDEO 796.323 REB,Rebound : a basketball story.,Video,2009,Available,2/7/2023,6/10/2010,0,0,0,0
T 33795,VIDEO 808 COR,Correct citations & works cited page,Video,2003,Available,2/7/2023,4/12/2006,0,0,0,0
T 33809,VIDEO 808 PLA,Plagiarism it's a crime,Video,2004,Available,2/7/2023,4/12/2006,0,0,0,0
T 40827,VIDEO 808.53,Resolved,Video,2008,Available,2/7/2023,6/7/2011,0,0,0,0
T 40163,VIDEO 810.9 GRE,Great American authors since 1650,Video,2007,Available,2/7/2023,5/7/2008,0,0,0,0
T 40184,VIDEO 810.9 GRE,Great American authors since 1650,Video,2007,Available,2/7/2023,5/7/2008,0,0,0,0
T 40173,VIDEO 810.9 GRE,Great American authors since 1650,Video,2007,Available,2/7/2023,5/7/2008,2,0,0,0
T 60905,VIDEO 810.9 GRE,Great American authors since 1650,Video,2007,Available,2/7/2023,4/17/2008,0,0,0,0
T 31141,VIDEO 811 POE,Poetry in motion,Video,2002,Available,2/7/2023,3/7/2006,2,0,0,0
T 61627,VIDEO 812 DEA,Death of a salesman,Video,2002,Available,2/7/2023,4/6/2009,2,0,0,0
T 60917,VIDEO 821 PRO,Prologue to The Canterbury Tales,Video,2004,Available,2/7/2023,4/17/2008,2,0,0,0
T 33821,VIDEO 909.82 20T,The 20th century,Video,2000,Available,2/7/2023,4/12/2006,17,0,0,0
T 26543,VIDEO 910.4 LAS,Ghosts of the deep history's greatest shipwrecks,Video,1994,Available,2/7/2023,6/1/1997,0,0,0,0
T 26903,VIDEO 910.4 LAS,Ghosts of the deep history's greatest shipwrecks,Video,1994,Available,2/7/2023,9/20/1997,6,0,0,0
T 40887,VIDEO 917.9804 KRA,Into the wild,Video,2007,Available,2/7/2023,4/12/2012,1,0,0,0
T 33786,VIDEO 919.8 ANT,Antarctica,Video,2001,Available,2/7/2023,4/12/2006,16,0,0,0
T 31322,VIDEO 920 MAN,Mandate : the President and the people,Video,2006,Available,2/7/2023,9/20/2006,1,0,0,0
T 30115,VIDEO 920 SCH,Schindler.,Video,,Available,2/7/2023,3/26/2002,1,0,0,0
T 33010,VIDEO 921 FIT,F. Scott Fitzgerald the great American dreamer,Video,1997,Available,2/7/2023,4/8/2002,8,0,0,0
T 40437,VIDEO 921 LIN,Lincoln the Kentucky years.,Video,,Available,2/7/2023,6/11/2009,0,0,0,0
T 40426,VIDEO 921 LIN,Lincoln the Kentucky years.,Video,,Available,2/7/2023,6/1/2009,0,0,0,0
T 33018,VIDEO 921 MEN,Josef Mengele medical madman of Auschwitz,Video,1996,Available,2/7/2023,4/8/2002,4,0,0,0
